模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-01 22:04:26 钢琴。本次回收：125。总投入：186，总回收：390，实际收益：76，开关=2
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-03 15:50:02 圆号。本次回收：0。，总投入：2810，总回收：2395，实际收益：-1064，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-03 15:55:50 贝斯。本次回收：25。总投入：2820，总回收：2420，实际收益：-1057，开关=1
****************************************
模拟下注：贝斯,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-03 15:56:48 钢琴。本次回收：0。，总投入：2870，总回收：2420，实际收益：-1103，开关=1
****************************************
模拟下注：贝斯,125 | 小提琴,125 | 下注结果：【命中】。2022-12-03 16:06:28 小提琴。本次回收：625。总投入：3120，总回收：3045，实际收益：-936，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-03 16:07:26 吉他。本次回收：0。，总投入：3122，总回收：3045，实际收益：-938，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-03 16:13:14 小提琴。本次回收：0。，总投入：3132，总回收：3045，实际收益：-947，开关=1
****************************************
模拟下注：钢琴,25 | 小提琴,25 | 下注结果：【命中】。2022-12-03 16:36:26 钢琴。本次回收：125。总投入：3182，总回收：3170，实际收益：-914，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-03 16:57:42 小提琴。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-03 17:00:36 钢琴。本次回收：0。，总投入：12，总回收：0，实际收益：-11，开关=1
****************************************
模拟下注：贝斯,25 | 钢琴,25 | 下注结果：【命中】。2022-12-03 17:05:26 贝斯。本次回收：125。总投入：62，总回收：125，实际收益：22，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-03 17:09:18 贝斯。本次回收：5。总投入：64，总回收：130，实际收益：23，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-03 17:12:12 小提琴。本次回收：5。总投入：66，总回收：135，实际收益：25，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【命中】。2022-12-03 17:13:10 小提琴。本次回收：5。总投入：68，总回收：140，实际收益：26，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-03 17:21:52 钢琴。本次回收：5。总投入：70，总回收：145，实际收益：27，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【命中】。2022-12-03 17:22:50 贝斯。本次回收：5。总投入：72，总回收：150，实际收益：29，开关=1
****************************************
模拟下注：吉他,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-03 17:39:16 架子鼓。本次回收：0。，总投入：74，总回收：150，实际收益：27，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【命中】。2022-12-03 18:07:18 钢琴。本次回收：25。总投入：84，总回收：175，实际收益：33，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-03 18:08:16 架子鼓。本次回收：0。，总投入：86，总回收：175，实际收益：32，开关=1
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-03 18:28:34 架子鼓。本次回收：0。，总投入：96，总回收：175，实际收益：22，开关=1
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-03 18:38:14 小提琴。本次回收：0。，总投入：146，总回收：175，实际收益：-23，开关=1
****************************************
模拟下注：钢琴,125 | 小提琴,125 | 下注结果：【命中】。2022-12-03 18:41:08 小提琴。本次回收：625。总投入：396，总回收：800，实际收益：143，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【命中】。2022-12-03 18:42:06 吉他。本次回收：5。总投入：398，总回收：805，实际收益：145，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-03 18:54:40 吉他。本次回收：0。，总投入：400，总回收：805，实际收益：143，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-03 18:56:36 小提琴。本次回收：0。，总投入：410，总回收：805，实际收益：133，开关=1
****************************************
模拟下注：贝斯,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-03 19:05:18 小提琴。本次回收：0。，总投入：460，总回收：805，实际收益：87，开关=2
****************************************
模拟下注：贝斯,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-03 19:09:10 架子鼓。本次回收：0。，总投入：710，总回收：805，实际收益：-142，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-03 19:13:02 钢琴。本次回收：5。总投入：712，总回收：810，实际收益：-140，开关=2
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-03 19:22:42 小提琴。本次回收：5。总投入：714，总回收：815，实际收益：-139，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-03 19:33:20 架子鼓。本次回收：0。，总投入：716，总回收：815，实际收益：-141，开关=2
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-03 19:39:08 吉他。本次回收：0。，总投入：726，总回收：815，实际收益：-150，开关=2
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-03 19:46:52 小提琴。本次回收：0。，总投入：776，总回收：815，实际收益：-196，开关=2
****************************************
模拟下注：贝斯,125 | 吉他,125 | 下注结果：【未命中】。2022-12-03 19:57:30 小提琴。本次回收：0。，总投入：1026，总回收：815，实际收益：-426，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-03 19:58:28 贝斯。本次回收：5。总投入：1028，总回收：820，实际收益：-425，开关=2
****************************************
模拟下注：钢琴,1 | 小提琴,1 | 下注结果：【命中】。2022-12-03 20:01:22 小提琴。本次回收：5。总投入：1030，总回收：825，实际收益：-423，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-03 20:07:10 贝斯。本次回收：5。总投入：1032，总回收：830，实际收益：-422，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-03 20:24:34 小提琴。本次回收：0。，总投入：1034，总回收：830，实际收益：-424，开关=2
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-03 20:35:12 架子鼓。本次回收：0。，总投入：1044，总回收：830，实际收益：-433，开关=2
****************************************
模拟下注：钢琴,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-03 20:40:02 贝斯。本次回收：0。，总投入：1094，总回收：830，实际收益：-479，开关=1
****************************************
模拟下注：钢琴,125 | 小提琴,125 | 下注结果：【未命中】。2022-12-03 20:44:52 贝斯。本次回收：0。，总投入：1344，总回收：830，实际收益：-709，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-03 20:58:24 竖琴。本次回收：0。，总投入：1346，总回收：830，实际收益：-711，开关=1
****************************************
模拟下注：钢琴,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-03 21:06:08 吉他。本次回收：0。，总投入：1356，总回收：830，实际收益：-720，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【命中】。2022-12-03 21:09:02 吉他。本次回收：125。总投入：1406，总回收：955，实际收益：-687，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-03 21:10:00 贝斯。本次回收：5。总投入：1408，总回收：960，实际收益：-685，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-03 21:18:42 架子鼓。本次回收：0。，总投入：1410，总回收：960，实际收益：-687，开关=1
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-03 21:24:30 小提琴。本次回收：0。，总投入：1420，总回收：960，实际收益：-696，开关=1
****************************************
模拟下注：吉他,25 | 钢琴,25 | 下注结果：【命中】。2022-12-03 21:43:50 吉他。本次回收：125。总投入：1470，总回收：1085，实际收益：-663，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-03 21:44:48 吉他。本次回收：0。，总投入：1472，总回收：1085，实际收益：-665，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-03 22:03:10 吉他。本次回收：0。，总投入：1482，总回收：1085，实际收益：-674，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-04 10:00:26 小提琴。本次回收：5。总投入：2，总回收：5，实际收益：1，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【命中】。2022-12-04 10:02:22 小提琴。本次回收：5。总投入：4，总回收：10，实际收益：2，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 10:06:14 萨克斯风。本次回收：0。，总投入：6，总回收：10，实际收益：0，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【命中】。2022-12-04 10:08:10 贝斯。本次回收：25。总投入：16，总回收：35，实际收益：7，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-04 10:11:04 吉他。本次回收：0。，总投入：18，总回收：35，实际收益：5，开关=1
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-04 10:13:58 吉他。本次回收：0。，总投入：28，总回收：35，实际收益：-3，开关=1
****************************************
模拟下注：小提琴,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-04 10:24:36 架子鼓。本次回收：0。，总投入：78，总回收：35，实际收益：-49，开关=2
****************************************
模拟下注：贝斯,125 | 吉他,125 | 下注结果：【命中】。2022-12-04 10:32:20 吉他。本次回收：625。总投入：328，总回收：660，实际收益：117，开关=2
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-04 10:35:14 贝斯。本次回收：5。总投入：330，总回收：665，实际收益：118，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 10:42:00 竖琴。本次回收：0。，总投入：332，总回收：665，实际收益：116，开关=2
****************************************
模拟下注：小提琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-04 10:50:42 钢琴。本次回收：0。，总投入：342，总回收：665，实际收益：107，开关=2
****************************************
模拟下注：钢琴,25 | 吉他,25 | 下注结果：【未命中】。2022-12-04 10:51:40 贝斯。本次回收：0。，总投入：392，总回收：665，实际收益：61，开关=1
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-04 11:06:10 小提琴。本次回收：0。，总投入：642，总回收：665，实际收益：-168，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 11:10:02 贝斯。本次回收：0。，总投入：644，总回收：665，实际收益：-170，开关=1
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-04 11:12:56 萨克斯风。本次回收：0。，总投入：654，总回收：665，实际收益：-179，开关=1
****************************************
模拟下注：吉他,25 | 小提琴,25 | 下注结果：【未命中】。2022-12-04 11:15:50 架子鼓。本次回收：0。，总投入：704，总回收：665，实际收益：-225，开关=1
****************************************
模拟下注：小提琴,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-04 11:24:32 贝斯。本次回收：0。，总投入：954，总回收：665，实际收益：-455，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-04 11:27:26 贝斯。本次回收：5。总投入：956，总回收：670，实际收益：-454，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 11:29:22 钢琴。本次回收：0。，总投入：958，总回收：670，实际收益：-455，开关=1
****************************************
模拟下注：小提琴,5 | 钢琴,5 | 下注结果：【命中】。2022-12-04 11:38:04 钢琴。本次回收：25。总投入：968，总回收：695，实际收益：-449，开关=1
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-04 11:39:02 小提琴。本次回收：0。，总投入：970，总回收：695，实际收益：-451，开关=1
****************************************
模拟下注：吉他,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-04 11:43:52 钢琴。本次回收：0。，总投入：980，总回收：695，实际收益：-460，开关=1
****************************************
模拟下注：吉他,25 | 贝斯,25 | 下注结果：【命中】。2022-12-04 12:12:52 吉他。本次回收：125。总投入：1030，总回收：820，实际收益：-426，开关=1
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 12:23:30 钢琴。本次回收：0。，总投入：1032，总回收：820，实际收益：-428，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 12:38:00 小提琴。本次回收：0。，总投入：2，总回收：0，实际收益：-1，开关=1
****************************************
模拟下注：小提琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 12:47:40 贝斯。本次回收：0。，总投入：12，总回收：0，实际收益：-11，开关=1
****************************************
模拟下注：贝斯,25 | 钢琴,25 | 下注结果：【命中】。2022-12-04 12:50:34 钢琴。本次回收：125。总投入：62，总回收：125，实际收益：22，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-04 12:56:22 贝斯。本次回收：5。总投入：64，总回收：130，实际收益：23，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-04 12:57:20 贝斯。本次回收：5。总投入：66，总回收：135，实际收益：25，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【命中】。2022-12-04 12:58:18 吉他。本次回收：5。总投入：68，总回收：140，实际收益：26，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 13:13:46 圆号。本次回收：0。，总投入：70，总回收：140，实际收益：24，开关=1
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-04 13:17:38 贝斯。本次回收：25。总投入：80，总回收：165，实际收益：31，开关=1
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【命中】。2022-12-04 13:18:36 小提琴。本次回收：5。总投入：82，总回收：170，实际收益：32，开关=1
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 13:24:24 钢琴。本次回收：0。，总投入：84，总回收：170，实际收益：30，开关=1
****************************************
模拟下注：吉他,5 | 钢琴,5 | 下注结果：【命中】。2022-12-04 13:29:14 吉他。本次回收：25。总投入：94，总回收：195，实际收益：37，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-04 13:30:12 钢琴。本次回收：5。总投入：96，总回收：200，实际收益：38，开关=1
****************************************
模拟下注：小提琴,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-04 13:34:04 吉他。本次回收：0。，总投入：98，总回收：200，实际收益：36，开关=1
****************************************
模拟下注：小提琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 13:49:32 钢琴。本次回收：0。，总投入：108，总回收：200，实际收益：27，开关=1
****************************************
模拟下注：钢琴,25 | 小提琴,25 | 下注结果：【命中】。2022-12-04 13:54:22 钢琴。本次回收：125。总投入：158，总回收：325，实际收益：61，开关=2
****************************************
模拟下注：贝斯,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 14:05:00 竖琴。本次回收：0。，总投入：160，总回收：325，实际收益：59，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【命中】。2022-12-04 14:06:56 吉他。本次回收：25。总投入：170，总回收：350，实际收益：65，开关=2
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 14:09:50 钢琴。本次回收：0。，总投入：172，总回收：350，实际收益：64，开关=2
****************************************
模拟下注：小提琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 14:10:48 贝斯。本次回收：0。，总投入：182，总回收：350，实际收益：54，开关=2
****************************************
模拟下注：小提琴,25 | 贝斯,25 | 下注结果：【命中】。2022-12-04 14:21:26 贝斯。本次回收：125。总投入：232，总回收：475，实际收益：88，开关=1
****************************************
模拟下注：小提琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 14:22:24 萨克斯风。本次回收：0。，总投入：234，总回收：475，实际收益：86，开关=1
****************************************
模拟下注：钢琴,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 14:25:18 架子鼓。本次回收：0。，总投入：244，总回收：475，实际收益：77，开关=1
****************************************
模拟下注：吉他,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-04 14:31:06 圆号。本次回收：0。，总投入：294，总回收：475，实际收益：31，开关=1
****************************************
模拟下注：钢琴,125 | 小提琴,125 | 下注结果：【命中】。2022-12-04 14:37:52 小提琴。本次回收：625。总投入：544，总回收：1100，实际收益：198，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-04 14:41:44 小提琴。本次回收：5。总投入：546，总回收：1105，实际收益：199，开关=1
****************************************
模拟下注：小提琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 14:43:40 架子鼓。本次回收：0。，总投入：548，总回收：1105，实际收益：197，开关=1
****************************************
模拟下注：小提琴,5 | 吉他,5 | 下注结果：【命中】。2022-12-04 14:50:26 小提琴。本次回收：25。总投入：558，总回收：1130，实际收益：204，开关=1
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 14:54:18 竖琴。本次回收：0。，总投入：560，总回收：1130，实际收益：202，开关=1
****************************************
模拟下注：吉他,5 | 小提琴,5 | 下注结果：【未命中】。2022-12-04 15:08:48 架子鼓。本次回收：0。，总投入：570，总回收：1130，实际收益：193，开关=1
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-04 15:11:42 小提琴。本次回收：0。，总投入：620，总回收：1130，实际收益：147，开关=2
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-04 15:13:38 架子鼓。本次回收：0。，总投入：870，总回收：1130，实际收益：-82，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 15:16:32 萨克斯风。本次回收：0。，总投入：872，总回收：1130，实际收益：-84，开关=2
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【未命中】。2022-12-04 15:25:14 小提琴。本次回收：0。，总投入：882，总回收：1130，实际收益：-93，开关=2
****************************************
模拟下注：钢琴,25 | 贝斯,25 | 下注结果：【未命中】。2022-12-04 15:31:02 吉他。本次回收：0。，总投入：932，总回收：1130，实际收益：-139，开关=2
****************************************
模拟下注：钢琴,125 | 贝斯,125 | 下注结果：【未命中】。2022-12-04 15:32:00 架子鼓。本次回收：0。，总投入：1182，总回收：1130，实际收益：-369，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 15:33:56 吉他。本次回收：0。，总投入：1184，总回收：1130，实际收益：-371，开关=2
****************************************
模拟下注：贝斯,5 | 钢琴,5 | 下注结果：【未命中】。2022-12-04 15:34:54 小提琴。本次回收：0。，总投入：1194，总回收：1130，实际收益：-380，开关=2
****************************************
模拟下注：贝斯,25 | 钢琴,25 | 下注结果：【未命中】。2022-12-04 15:36:50 小提琴。本次回收：0。，总投入：1244，总回收：1130，实际收益：-426，开关=2
****************************************
模拟下注：贝斯,125 | 钢琴,125 | 下注结果：【未命中】。2022-12-04 15:47:28 萨克斯风。本次回收：0。，总投入：1494，总回收：1130，实际收益：-656，开关=2
****************************************
模拟下注：贝斯,1 | 钢琴,1 | 下注结果：【命中】。2022-12-04 15:54:14 贝斯。本次回收：5。总投入：1496，总回收：1135，实际收益：-655，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 15:59:04 钢琴。本次回收：0。，总投入：1498，总回收：1135，实际收益：-657，开关=2
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【命中】。2022-12-04 16:00:02 贝斯。本次回收：25。总投入：1508，总回收：1160，实际收益：-650，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 16:11:38 贝斯。本次回收：0。，总投入：1510，总回收：1160，实际收益：-652，开关=2
****************************************
模拟下注：贝斯,5 | 小提琴,5 | 下注结果：【命中】。2022-12-04 16:14:32 小提琴。本次回收：25。总投入：1520，总回收：1185，实际收益：-645，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【未命中】。2022-12-04 16:29:02 萨克斯风。本次回收：0。，总投入：1522，总回收：1185，实际收益：-647，开关=2
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-04 16:30:58 贝斯。本次回收：25。总投入：1532，总回收：1210，实际收益：-641，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【未命中】。2022-12-04 16:32:54 吉他。本次回收：0。，总投入：1534，总回收：1210，实际收益：-642，开关=2
****************************************
模拟下注：钢琴,5 | 贝斯,5 | 下注结果：【命中】。2022-12-04 16:34:50 贝斯。本次回收：25。总投入：1544，总回收：1235，实际收益：-636，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-04 16:41:36 吉他。本次回收：5。总投入：1546，总回收：1240，实际收益：-634，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【命中】。2022-12-04 16:44:30 小提琴。本次回收：5。总投入：1548，总回收：1245，实际收益：-633，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-04 16:48:22 吉他。本次回收：5。总投入：1550，总回收：1250，实际收益：-632，开关=2
****************************************
模拟下注：贝斯,1 | 吉他,1 | 下注结果：【未命中】。2022-12-04 16:52:14 小提琴。本次回收：0。，总投入：1552，总回收：1250，实际收益：-634，开关=2
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【命中】。2022-12-04 17:40:34 钢琴。本次回收：5。总投入：2，总回收：5，实际收益：1，开关=1
****************************************
模拟下注：吉他,1 | 钢琴,1 | 下注结果：【未命中】。2022-12-04 17:42:30 小提琴。本次回收：0。，总投入：4，总回收：5，实际收益：0，开关=1
****************************************
模拟下注：贝斯,5 | 吉他,5 | 下注结果：【未命中】。2022-12-04 17:45:24 小提琴。本次回收：0。，总投入：14，总回收：5，实际收益：-9，开关=1
****************************************
模拟下注：贝斯,25 | 吉他,25 | 下注结果：【命中】。2022-12-04 17:48:18 吉他。本次回收：125。总投入：64，总回收：130，实际收益：23，开关=2
****************************************
模拟下注：钢琴,1 | 吉他,1 | 下注结果：【命中】。2022-12-04 17:59:54 吉他。本次回收：5。总投入：66，总回收：135，实际收益：25，开关=2
****************************************
模拟下注：钢琴,1 | 贝斯,1 | 下注结果：【命中】。2022-12-04 18:11:30 贝斯。本次回收：5。总投入：68，总回收：140，实际收益：26，开关=2
****************************************
模拟下注：吉他,1 | 小提琴,1 | 下注结果：【命中】。2022-12-04 18:14:24 吉他。本次回收：5。总投入：70，总回收：145，实际收益：27，开关=2
****************************************
