同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-23 08:14:38 钢琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 吉他,1 | 买入结果：【命中】。2022-12-24 06:09:18 吉他。本次回收：5。总投入：1633。总回收：2040。总收益：-206。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【命中】。2022-12-24 06:10:16 钢琴。本次回收：5。总投入：1635。总回收：2045。总收益：-205。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-24 06:17:02 萨克斯风。本次回收：0。总投入：1637。总回收：2045。总收益：-207。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：吉他,6 | 贝斯,6 | 买入结果：【命中】。2022-12-24 06:22:50 吉他。本次回收：30。总投入：1650。总回收：2075。总收益：-200。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 06:23:48 架子鼓。本次回收：0。总投入：1652。总回收：2075。总收益：-202。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 钢琴,6 | 买入结果：【命中】。2022-12-24 06:25:44 钢琴。本次回收：30。总投入：1665。总回收：2105。总收益：-195。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 06:26:42 贝斯。本次回收：0。总投入：1667。总回收：2105。总收益：-196。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 吉他,6 | 买入结果：【未命中】。2022-12-24 06:28:38 圆号。本次回收：0。总投入：1680。总回收：2105。总收益：-208。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：小提琴,43 | 钢琴,43 | 买入结果：【未命中】。2022-12-24 06:31:32 架子鼓。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 07:06:20 钢琴。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 07:10:12 钢琴。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 07:22:46 架子鼓。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 07:24:42 贝斯。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 07:27:36 吉他。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 07:29:32 小提琴。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 07:39:12 贝斯。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 07:42:06 钢琴。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 07:45:00 小提琴。本次回收：0。总投入：1766。总回收：2105。总收益：-288。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 07:45:58 钢琴。本次回收：0。总投入：1768。总回收：2105。总收益：-289。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：钢琴,6 | 吉他,6 | 买入结果：【命中】。2022-12-24 07:48:52 吉他。本次回收：30。总投入：1781。总回收：2135。总收益：-282。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-24 07:50:48 贝斯。本次回收：0。总投入：1783。总回收：2135。总收益：-284。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：贝斯,6 | 钢琴,6 | 买入结果：【命中】。2022-12-24 07:57:34 贝斯。本次回收：30。总投入：1796。总回收：2165。总收益：-277。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 07:58:32 钢琴。本次回收：5。总投入：1798。总回收：2170。总收益：-276。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-24 08:12:04 吉他。本次回收：0。总投入：1800。总回收：2170。总收益：-278。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 08:27:32 小提琴。本次回收：0。总投入：1800。总回收：2170。总收益：-278。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 08:30:26 贝斯。本次回收：0。总投入：1800。总回收：2170。总收益：-278。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 08:31:24 架子鼓。本次回收：0。总投入：1800。总回收：2170。总收益：-278。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 08:32:22 小提琴。本次回收：0。总投入：1800。总回收：2170。总收益：-278。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：吉他,1 | 钢琴,1 | 买入结果：【命中】。2022-12-24 08:42:02 吉他。本次回收：5。总投入：1802。总回收：2175。总收益：-276。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 小提琴,1 | 买入结果：【命中】。2022-12-24 08:44:56 贝斯。本次回收：5。总投入：1804。总回收：2180。总收益：-275。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-24 08:49:46 竖琴。本次回收：0。总投入：1806。总回收：2180。总收益：-277。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 吉他,6 | 买入结果：【未命中】。2022-12-24 08:59:26 圆号。本次回收：0。总投入：1819。总回收：2180。总收益：-289。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：吉他,43 | 贝斯,43 | 买入结果：【未命中】。2022-12-24 09:04:16 钢琴。本次回收：0。总投入：1905。总回收：2180。总收益：-368。
同意买入。买入操作配置【开启】。买入计量为573。模拟买入：钢琴,286 | 贝斯,286 | 买入结果：【命中】。2022-12-24 09:10:04 贝斯。本次回收：1430。总投入：2478。总回收：3610。总收益：12。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 09:12:58 贝斯。本次回收：0。总投入：2478。总回收：3610。总收益：12。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 09:14:54 贝斯。本次回收：0。总投入：2478。总回收：3610。总收益：12。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：钢琴,1 | 小提琴,1 | 买入结果：【命中】。2022-12-24 09:16:50 小提琴。本次回收：5。总投入：2480。总回收：3615。总收益：13。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 钢琴,1 | 买入结果：【未命中】。2022-12-24 09:27:28 贝斯。本次回收：0。总投入：2482。总回收：3615。总收益：12。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 贝斯,6 | 买入结果：【未命中】。2022-12-24 09:29:24 竖琴。本次回收：0。总投入：2495。总回收：3615。总收益：0。
同意买入。买入操作配置【开启】。买入计量为86。模拟买入：小提琴,43 | 钢琴,43 | 买入结果：【未命中】。2022-12-24 09:32:18 架子鼓。本次回收：0。总投入：2581。总回收：3615。总收益：-78。
同意买入。买入操作配置【开启】。买入计量为573。模拟买入：钢琴,286 | 小提琴,286 | 买入结果：【未命中】。2022-12-24 09:35:12 圆号。本次回收：0。总投入：3154。总回收：3615。总收益：-606。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【命中】。2022-12-24 09:39:04 贝斯。本次回收：5。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 09:40:02 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 09:44:52 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 10:04:12 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 10:05:10 小提琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 10:07:06 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 10:14:50 贝斯。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 10:23:32 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 10:27:24 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 10:34:10 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 10:38:02 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 10:45:46 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-24 10:52:32 小提琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 11:07:02 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 11:12:50 架子鼓。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【命中】。2022-12-24 11:26:22 小提琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 11:28:18 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 11:42:48 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 11:52:28 贝斯。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 11:55:22 圆号。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 12:02:08 小提琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 12:06:58 贝斯。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 12:08:54 小提琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 12:12:46 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 12:16:38 小提琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 12:19:32 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 12:29:12 萨克斯风。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 12:31:08 贝斯。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-24 12:34:02 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 12:35:00 架子鼓。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 12:37:54 贝斯。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-24 12:39:50 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 12:40:48 架子鼓。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-24 12:43:42 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-24 12:47:34 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 12:49:30 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 12:52:24 钢琴。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-24 12:53:22 吉他。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 12:55:18 贝斯。本次回收：0。总投入：3156。总回收：3620。总收益：-604。
