同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 吉他,0 | 买入结果：【未命中】。2022-12-24 13:23:20 小提琴。本次回收：0。总投入：0。总回收：0。总收益：0。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：吉他,0 | 小提琴,0 | 买入结果：【未命中】。2022-12-25 08:13:22 架子鼓。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 08:17:14 架子鼓。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 小提琴,0 | 买入结果：【命中】。2022-12-25 08:35:36 钢琴。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 08:36:34 贝斯。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 08:37:32 钢琴。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【命中】。2022-12-25 08:47:12 贝斯。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 09:17:10 吉他。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 钢琴,0 | 买入结果：【命中】。2022-12-25 09:18:08 钢琴。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 09:19:06 吉他。本次回收：0。总投入：1469。总回收：2125。总收益：-2。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 吉他,1 | 买入结果：【未命中】。2022-12-25 09:21:02 钢琴。本次回收：0。总投入：1471。总回收：2125。总收益：-3。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：小提琴,6 | 贝斯,6 | 买入结果：【命中】。2022-12-25 09:22:58 小提琴。本次回收：30。总投入：1484。总回收：2155。总收益：3。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 贝斯,0 | 买入结果：【未命中】。2022-12-25 09:23:56 钢琴。本次回收：0。总投入：1484。总回收：2155。总收益：3。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 09:24:54 吉他。本次回收：0。总投入：1484。总回收：2155。总收益：3。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：小提琴,1 | 贝斯,1 | 买入结果：【未命中】。2022-12-25 09:25:52 钢琴。本次回收：0。总投入：1486。总回收：2155。总收益：1。
同意买入。买入操作配置【开启】。买入计量为13。模拟买入：钢琴,6 | 吉他,6 | 买入结果：【命中】。2022-12-25 09:27:48 钢琴。本次回收：30。总投入：1499。总回收：2185。总收益：8。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：贝斯,0 | 钢琴,0 | 买入结果：【未命中】。2022-12-25 09:28:46 吉他。本次回收：0。总投入：1499。总回收：2185。总收益：8。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【未命中】。2022-12-25 09:34:34 贝斯。本次回收：0。总投入：1499。总回收：2185。总收益：8。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：钢琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 09:41:20 吉他。本次回收：0。总投入：1499。总回收：2185。总收益：8。
同意买入。买入操作配置【未开启】。买入计量为0。模拟买入：小提琴,0 | 吉他,0 | 买入结果：【命中】。2022-12-25 09:43:16 吉他。本次回收：0。总投入：1499。总回收：2185。总收益：8。
同意买入。买入操作配置【开启】。买入计量为2。模拟买入：贝斯,1 | 吉他,1 | 买入结果：【未命中】。2022-12-25 09:46:10 小提琴。本次回收：0。总投入：1501。总回收：2185。总收益：6。
